transition_id,scenario,source_stage,target_stage,source,target,relation,ground_truth,structured,embedding,hybrid
A16,Anthropic,Scripts,Runtime,recon_and_exploit_generation,data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A17,Anthropic,Scripts,Runtime,reconnaissance,credential_harvest_backdoor_exfil,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A18,Anthropic,Scripts,Runtime,reconnaissance,credential_harvesting,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A19,Anthropic,Scripts,Runtime,reconnaissance,backdoor_creation,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A20,Anthropic,Scripts,Runtime,reconnaissance,data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A21,Anthropic,Scripts,Runtime,vulnerability_identification,credential_harvest_backdoor_exfil,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A22,Anthropic,Scripts,Runtime,vulnerability_identification,credential_harvesting,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A23,Anthropic,Scripts,Runtime,vulnerability_identification,backdoor_creation,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A24,Anthropic,Scripts,Runtime,vulnerability_identification,data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A25,Anthropic,Scripts,Runtime,exploit_code_generation,credential_harvest_backdoor_exfil,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A26,Anthropic,Scripts,Runtime,exploit_code_generation,credential_harvesting,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A27,Anthropic,Scripts,Runtime,exploit_code_generation,backdoor_creation,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
A28,Anthropic,Scripts,Runtime,exploit_code_generation,data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C1,CapitalOne,Requirements,Configuration,security_requirements,configured_cloud_controls,evolves_to,PASS,PASS,SUSPECT,SUSPECT
C2,CapitalOne,Requirements,Configuration,security_requirements,cloud_access_configuration,evolves_to,PASS,PASS,SUSPECT,SUSPECT
C3,CapitalOne,Requirements,Configuration,customer_data_access_restricted_to_authorized_services,configured_cloud_controls,evolves_to,PASS,PASS,SUSPECT,SUSPECT
C4,CapitalOne,Requirements,Configuration,customer_data_access_restricted_to_authorized_services,cloud_access_configuration,evolves_to,PASS,PASS,SUSPECT,SUSPECT
C5,CapitalOne,Configuration,Deployment,configured_cloud_controls,misconfigured_deployment,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C6,CapitalOne,Configuration,Deployment,configured_cloud_controls,excessive_iam_permissions,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C7,CapitalOne,Configuration,Deployment,configured_cloud_controls,metadata_service_exposure,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C8,CapitalOne,Configuration,Deployment,cloud_access_configuration,misconfigured_deployment,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C9,CapitalOne,Configuration,Deployment,cloud_access_configuration,excessive_iam_permissions,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C10,CapitalOne,Configuration,Deployment,cloud_access_configuration,metadata_service_exposure,evolves_to,SUSPECT,VIOLATION,SUSPECT,SUSPECT
C11,CapitalOne,Deployment,Runtime,misconfigured_deployment,unauthorized_runtime_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C12,CapitalOne,Deployment,Runtime,misconfigured_deployment,unauthorized_data_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C13,CapitalOne,Deployment,Runtime,misconfigured_deployment,customer_data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C14,CapitalOne,Deployment,Runtime,excessive_iam_permissions,unauthorized_runtime_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C15,CapitalOne,Deployment,Runtime,excessive_iam_permissions,unauthorized_data_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C16,CapitalOne,Deployment,Runtime,excessive_iam_permissions,customer_data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C17,CapitalOne,Deployment,Runtime,metadata_service_exposure,unauthorized_runtime_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C18,CapitalOne,Deployment,Runtime,metadata_service_exposure,unauthorized_data_access,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
C19,CapitalOne,Deployment,Runtime,metadata_service_exposure,customer_data_exfiltration,evolves_to,VIOLATION,VIOLATION,SUSPECT,VIOLATION
